,indexacao,category_id
42462,"Criação, Dia Nacional da Poesia, comemoração, outubro.",2
61131,"Concessão, percentual, desconto, (IPTU),  imóvel residencial, imóvel comercial, implantação, vegetação, cobertura.",0
58177,"Aprovação, televisão educativa, Governador Valadares, (MG).",0
54022,"Alteração, Lei das Eleições, proibição, cessão, troca, horário, propaganda eleitoral, horário gratuito, candidato, sistema majoritário, sistema proporcional, distribuição, partido político.",1
66502,"Criação, Dia Nacional do Ciclista, comemoração, agosto, educação para o trânsito, mobilidade urbana.",0
18851,"Criação, Dia Nacional de Conscientização da Hemofilia.",2
35959,"Criação, auxílio-educação, dependente, servidor público, quadro de pessoal, administração federal, não incidência, Imposto sobre a Renda e Proventos de Qualquer Natureza (IR), Contribuição previdenciária.",0
26758,"Aprovação, Ato Internacional, Acordo de Cooperação Mútua para Combater o Tráfego de Aeronaves Envolvidas com Atividades IlícitasTransnacionais, país, Brasil, país estrangeiro, Venezuela.",0
39911,"Alteração, Código Penal, circunstância agravante, agravação penal, crime, ocorrência, inerior, área, vizinhança, estabelecimento de ensino, hospital.",0
65146,"Alteração, Lei de Isenção do IPI para Compra de Automóveis, isenção, IPI, aquisição, veículo automotor, pessoa com deficiência auditiva.",3
61742,"Proibição, bancos, informação, saldo, conta bancária, valor, limite, disponibilidade, cheque especial, linha de crédito, financiamento, indicação, juros, operação financeira.",3
13366,"Alteração, lei federal, diretriz, elaboração, (LDO), supressão, dispositivos, obrigação, municípios, contraprestação, recursos financeiros, transferência  voluntária, União Federal.",3
20057,"ALTERAÇÃO, LEI ORGANICA DOS PARTIDOS POLITICOS, FUNDAÇÃO, REGISTRO, ELEIÇÃO, COMISSÃO NACIONAL, MANIFESTO, LANÇAMENTO, SIGLA DE PARTIDO,  ZONA ELEITORAL, (TSE), INSTALAÇÃO, PROGRAMA PARTIDARIO, CODIGO DE PROCESSO CIVIL.",1
35783,"Critérios, acesso, partido político,  fundo partidário, uso gratuito, rádio, televisão, disputa, eleições, Câmara dos Deputados, Senado Federal.",0
